#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14]
6291, 4947.4, -1, 79, 0.00933751, -0.133605, 1.98502, 0.220597, -0.006482, 0.0237861, 0.22197, 0.78, 2032, 2028, 2480
6292, 4985.45, -1, 79, 0.005044, -0.101055, 1.9861, 0.177089, -0.0156525, 0.0324908, 0.180724, 0.787, 2044, 2040, 2560
6293, 5023.65, -1, 79, 0.00193732, -0.0808437, 1.98641, 0.140878, -0.0178282, 0.015948, 0.142894, 0.788, 2084, 2040, 2532
6294, 5061.77, -1, 79, -0.0021293, -0.0674395, 1.98659, 0.208075, -0.0188255, -0.000207417, 0.208925, 0.789, 2064, 2044, 2528
6295, 5100.58, -1, 79, -0.00497419, -0.0596728, 1.98669, 0.411538, -0.0358148, -0.00787218, 0.413168, 0.79, 2064, 2056, 2544
6296, 5138.77, -1, 79, -0.00668461, -0.0651182, 1.98694, 0.515391, -0.0293626, -0.0226909, 0.516725, 0.789, 2060, 2028, 2488
6297, 5182.86, -1, 79, -0.0076969, -0.087982, 1.98746, 0.524294, -0.0175002, -0.0337648, 0.525671, 0.788, 1960, 2036, 2572
6298, 5231.98, -1, 79, -0.00666716, -0.110968, 1.98819, 0.477636, -0.0107214, -0.0312489, 0.478777, 0.789, 2056, 2028, 2508
6299, 5276.86, -1, 79, -0.00479966, -0.122348, 1.98863, 0.437172, -0.00969565, -0.0323844, 0.438477, 0.789, 2036, 2016, 2572
6300, 5321.94, -1, 79, -0.00333358, -0.126955, 1.98887, 0.396189, -0.00350776, -0.030798, 0.397399, 0.79, 1948, 2060, 2524
6301, 5364.93, -1, 79, -0.00190241, -0.125, 1.98903, 0.316953, -0.00872038, -0.0345526, 0.31895, 0.79, 2108, 2016, 2500
6302, 5410.85, -1, 79, 0.000191986, -0.11788, 1.98875, 0.278174, -0.0142639, -0.0345652, 0.280676, 0.79, 1988, 2048, 2540
6303, 5453.87, -1, 79, 0.000523599, -0.10917, 1.98872, 0.217744, -0.0132432, -0.0476042, 0.22328, 0.788, 2024, 2052, 2520
6304, 5491.7, -1, 79, -0.000523599, -0.0948936, 1.9884, 0.162634, -0.0186068, -0.0448586, 0.16973, 0.788, 2036, 2020, 2512
6305, 5530.53, -1, 79, -0.00179769, -0.085748, 1.98817, 0.13652, -0.0196437, -0.051768, 0.147321, 0.787, 2020, 1996, 2540
6306, 5569.24, -1, 79, -0.00221657, -0.0742289, 1.98788, 0.07532, -0.0219739, -0.0590059, 0.0981715, 0.785, 2072, 2016, 2496
6307, 5584.93, -1, 79, -0.00230383, -0.0698655, 1.98735, 0.0507487, -0.0207981, -0.061241, 0.0822098, 0.784, 2072, 1976, 2512
6308, 5623.87, -1, 79, -0.00319395, -0.0564265, 1.98842, 0.0231045, -0.0400206, -0.0695902, 0.083536, 0.78, 2004, 2076, 2556
6309, 5661.97, -1, 79, -0.00394444, -0.0475253, 1.98772, 0.0110388, -0.0387703, -0.0759667, 0.0859996, 0.777, 2008, 2092, 2524
6310, 5700.48, -1, 79, -0.00589921, -0.0355349, 1.98845, -0.0193265, -0.0465807, -0.0793331, 0.0940054, 0.773, 2080, 1964, 2532
6311, 5738.49, -1, 79, -0.0068766, -0.0280823, 1.98826, -0.0303003, -0.0328225, -0.0783693, 0.0902063, 0.771, 2068, 2040, 2536
6312, 5776.98, -1, 79, -0.00825541, -0.017558, 1.9883, -0.0506126, -0.0377463, -0.0783003, 0.100585, 0.767, 1980, 2052, 2528
6313, 5814.83, -1, 79, -0.00902335, -0.011013, 1.98812, -0.0674083, -0.0373843, -0.0793003, 0.110589, 0.764, 2040, 2016, 2564
6314, 5852.59, -1, 79, -0.0105069, -0.00178024, 1.98779, -0.0873747, -0.0314753, -0.0728437, 0.118031, 0.761, 2056, 2044, 2588
6315, 5890.55, -1, 79, -0.0109607, 0.00321141, 1.98741, -0.109863, -0.0343421, -0.0674493, 0.133412, 0.76, 2100, 2048, 2524
6316, 5928.87, -1, 79, -0.0111352, 0.00980875, 1.98727, -0.1099, -0.0291809, -0.0657171, 0.131333, 0.757, 2016, 2048, 2580
6317, 5970.97, -1, 79, -0.0111527, 0.0176802, 1.98711, -0.114146, -0.0247046, -0.0621316, 0.132287, 0.754, 2068, 2080, 2576
6318, 6011.43, -1, 79, -0.0102625, 0.0214152, 1.98699, -0.110841, -0.0197396, -0.0577, 0.12651, 0.752, 2088, 2056, 2532
6319, 6051.83, -1, 79, -0.00881391, 0.0251502, 1.98714, -0.123524, -0.0120882, -0.0510214, 0.134192, 0.751, 1980, 1984, 2512
6320, 6084.9, -1, 79, -0.00607375, 0.0275064, 1.98716, -0.148569, -0.00948223, -0.0414377, 0.154531, 0.75, 1976, 1992, 2508
6321, 6115.87, -1, 79, -0.00507891, 0.0298451, 1.98728, -0.139658, -0.0241473, -0.0428269, 0.148059, 0.749, 2052, 2032, 2536
6322, 6150.29, -1, 79, -0.00511381, 0.0325155, 1.98777, -0.139451, -0.0160396, -0.041727, 0.146441, 0.748, 2116, 2064, 2548
6323, 6178.1, -1, 79, -0.00528835, 0.0341735, 1.98741, -0.132368, -0.0145954, -0.0368937, 0.138186, 0.747, 1972, 2008, 2520
6324, 6213.93, -1, 79, -0.00476475, 0.0364425, 1.98756, -0.128806, -0.0107192, -0.032501, 0.133275, 0.747, 2132, 2056, 2536
