#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4442, 4632.48, -1, 65, -0.00237365, -0.0142244, 1.92957, -0.0062952, 0.00281022, 0, 0.00689397, 0, 1988, 2088, 2580, 728698346
4443, 4674.61, -1, 65, 0.00101229, -0.0129329, 1.92918, -0.00894194, 8.10788e-05, 0, 0.00894231, 0, 1980, 2012, 2600, 729840634
4444, 4716.74, -1, 65, 0.0013439, -0.0131598, 1.92868, -0.00735577, 0.00164936, 0, 0.00753842, 0, 2052, 2008, 2664, 729885495
4445, 4760.62, -1, 65, 0.0031765, -0.0161443, 1.92855, -0.00738288, -0.000428043, 0, 0.00739528, 0, 2036, 2044, 2540, 729925656
4446, 4810.52, -1, 65, 0.00310669, -0.0154811, 1.92876, -0.00639698, -0.000337265, 0, 0.00640586, 0, 2072, 2032, 2644, 729980862
4447, 4860.14, -1, 65, 0.00518363, -0.0161617, 2.06909, -0.00687804, -0.0012763, -6.5442e-09, 0.00699545, 0, 2092, 2004, 2576, 730026242
4448, 4908.69, -1, 65, 0.00537561, -0.0147829, 2.06931, -0.0102467, 0.00222854, 0.108964, 0.109467, 0.316, 1992, 2040, 2584, 730081479
4449, 4956.49, -1, 65, 0.00445059, -0.0145211, 2.06921, -0.0211718, 0.0389161, 0.709383, 0.710765, 0.348, 2076, 2040, 2696, 730121731
4450, 5002.81, -1, 65, 0.00375246, -0.0128282, 2.06987, -0.0222025, 0.0600112, 0.856392, 0.858779, 0.391, 2076, 2060, 2548, 730166745
4451, 5050.08, -1, 65, 0.00568977, -0.00986111, 2.0697, -0.0192159, 0.0699511, 0.918453, 0.921314, 0.445, 2108, 2044, 2520, 730216977
4452, 5094.34, -1, 65, 0.0105767, -0.00656244, 2.06961, -0.0126036, 0.0718453, 0.914529, 0.917433, 0.498, 2104, 2024, 2468, 730267514
4453, 5132.11, -1, 65, 0.0126187, -0.00542797, 2.0694, -0.0151426, 0.0687839, 0.911226, 0.913944, 0.524, 2016, 2044, 2424, 730292324
4454, 5178.64, -1, 65, 0.0154636, -0.0047822, 2.06926, -0.0234875, 0.0674566, 0.882895, 0.88578, 0.571, 2092, 2048, 2480, 730342526
4455, 5220.21, -1, 65, 0.0168948, -0.0044855, 2.06912, -0.0279596, 0.0696231, 0.86784, 0.871077, 0.612, 1996, 2024, 2460, 730387936
